Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,Final consumption expenditure,"1,691,108,955","1,826,664,360","1,544,444,495","1,637,777,780","1,984,444,453","2,173,333,411","2,248,888,963","2,680,000,054","2,942,222,153","3,302,299,763","3,267,891,073","3,109,967,280","3,077,042,975","3,043,752,184","3,006,622,795","2,972,943,050","2,971,971,383","2,583,997,230","2,384,418,638","2,991,104,595","3,241,081,960","3,116,500,969","3,374,466,953","2,689,196,628","2,214,899,439","3,513,188,449","3,510,787,464","3,504,349,384","3,494,156,361","3,367,508,114","4,507,312,485","4,646,537,097","5,092,313,226","6,696,607,062","7,291,017,276","8,328,424,128","9,033,290,165","12,408,185,811","13,276,221,189","13,813,174,367","17,907,404,303","19,874,298,804","20,510,158,794","19,929,413,570","19,618,533,560"
Afghanistan,Household consumption expenditure (including Non-profit institutions serving households),"1,577,101,926","1,703,518,767","1,440,324,923","1,527,366,076","1,850,662,043","2,026,816,934","2,097,278,863","2,499,326,383","2,743,870,598","3,079,673,434","3,047,584,398","2,900,307,024","2,869,602,593","2,838,555,870","2,803,929,301","2,772,521,408","2,771,613,476","2,409,794,547","2,223,675,684","2,789,451,461","3,022,579,920","2,906,424,864","3,146,930,811","2,507,910,550","2,065,656,062","3,276,076,297","3,274,284,629","3,268,548,531","3,257,170,918","3,141,944,285","4,205,059,397","4,323,931,296","4,764,064,913","6,246,017,249","6,732,947,977","7,664,068,791","8,225,163,322","11,335,370,853","12,188,988,973","12,386,448,087","15,654,800,291","17,523,688,459","17,934,110,217","17,410,446,481","16,997,196,384"
Afghanistan,General government final consumption expenditure,"114,007,052","123,145,593","104,119,573","110,411,682","133,782,410","146,516,477","151,610,077","180,673,671","198,351,555","222,626,329","220,306,675","209,660,257","207,440,362","205,196,313","202,693,513","200,421,642","200,357,907","174,202,683","160,742,953","201,653,134","218,502,060","210,076,105","227,536,142","181,286,078","149,243,378","237,112,152","236,502,835","235,800,853","236,985,443","225,563,829","302,253,088","322,605,800","328,248,313","450,589,813","558,069,299","664,355,337","808,126,843","1,072,814,958","1,087,232,216","1,426,726,279","2,252,604,012","2,350,610,345","2,576,048,577","2,518,967,090","2,621,337,176"
Afghanistan,Gross capital formation,"95,555,562","99,999,984","104,444,451","126,666,672","188,888,891","231,111,100","348,888,884","366,666,661","457,777,779","492,313,911","480,714,719","468,307,979","458,233,729","453,112,148","449,357,824","443,208,635","443,222,825","385,593,521","355,627,062","446,177,275","483,502,408","442,106,986","455,942,588","346,584,660","272,652,336","413,586,928","395,713,971","378,582,616","362,162,942","335,182,065","431,196,259","492,264,864","483,993,822","579,192,066","992,239,313","1,444,097,005","1,841,009,333","1,949,841,186","1,949,646,788","2,186,825,633","2,807,687,627","3,033,178,098","3,503,713,566","3,614,753,284","3,745,089,305"
Afghanistan,Gross fixed capital formation (including Acquisitions less disposals of valuables),"95,555,562","99,999,984","104,444,451","126,666,672","188,888,891","231,111,100","348,888,884","366,666,661","457,777,779","492,313,911","480,714,719","468,307,979","458,233,729","453,112,148","449,357,824","443,208,635","443,222,825","385,593,521","355,627,062","446,177,275","483,502,408","442,106,986","455,942,588","346,584,660","272,652,336","413,586,928","395,713,971","378,582,616","362,162,942","335,182,065","431,196,259","492,264,864","483,993,822","579,192,066","992,239,313","1,444,097,005","1,841,009,333","1,949,841,186","1,949,646,788","2,186,825,633","2,807,687,627","3,033,178,098","3,503,713,566","3,614,753,284","3,745,089,305"
Afghanistan,Exports of goods and services,"171,111,114","199,999,991","235,555,545","224,444,445","302,222,230","299,999,997","337,777,784","344,444,440","357,777,772","440,326,652","417,730,004","396,811,031","398,734,137","390,619,628","386,363,519","382,937,177","382,043,355","332,354,075","306,776,424","384,683,692","416,898,390","461,897,733","561,018,526","491,946,643","439,437,360","747,537,642","794,085,450","836,518,812","875,066,666","880,412,381","1,225,050,512","1,221,285,687","1,270,930,749","2,007,085,179","1,724,829,365","1,723,804,300","1,867,929,535","1,749,488,990","1,859,059,029","1,797,595,628","1,575,029,577","1,118,745,403","1,152,050,022","1,323,224,024","1,362,382,637"
Afghanistan,Imports of goods and services,"208,888,901","295,555,553","288,888,876","255,555,555","320,000,007","337,777,784","380,000,016","437,777,791","457,777,779","537,000,039","524,612,444","496,298,515","495,126,347","488,045,047","481,898,373","477,188,959","476,637,670","414,444,932","382,522,193","479,765,659","519,882,869","680,405,781","916,828,139","863,327,979","812,389,173","1,438,013,066","1,576,227,511","1,703,160,096","1,819,425,918","1,863,110,393","2,631,689,905","2,739,562,398","2,562,046,421","4,347,334,480","4,421,101,858","4,874,471,401","5,227,947,329","5,727,370,766","4,986,087,979","5,157,675,112","7,061,907,872","8,095,534,202","10,615,124,486","10,437,813,191","9,495,191,930"
Afghanistan,Gross Domestic Product (GDP),"1,748,886,597","1,831,108,982","1,595,555,482","1,733,333,275","2,155,555,500","2,366,666,613","2,555,555,571","2,953,333,408","3,300,000,103","3,697,940,356","3,641,723,443","3,478,787,916","3,438,884,594","3,399,439,011","3,360,445,864","3,321,900,002","3,320,599,991","2,887,499,993","2,664,299,991","3,342,200,002","3,621,600,007","3,340,100,005","3,474,600,007","2,664,399,992","2,114,600,000","3,236,300,000","3,124,359,411","3,016,290,743","2,911,960,069","2,719,992,175","3,531,869,351","3,620,525,250","4,285,191,376","4,935,549,827","5,586,984,096","6,621,833,827","7,514,261,673","10,380,165,236","10,768,480,570","12,572,598,112","16,077,921,038","19,170,467,659","21,330,874,642","21,610,365,221","21,121,935,456"
Afghanistan,"Agriculture, hunting, forestry, fishing (ISIC A-B)","878,687,780","920,010,936","801,641,220","870,871,218","1,083,067,657","1,188,976,426","1,284,009,992","1,484,165,633","1,657,178,880","1,858,590,479","1,831,206,025","1,743,165,590","1,732,784,851","1,711,812,673","1,666,160,273","1,701,699,993","1,668,899,994","1,364,599,992","1,632,400,005","2,262,900,002","1,294,399,997","1,660,000,003","1,926,500,007","1,691,399,991","1,549,800,000","2,125,800,000","1,994,876,365","1,872,016,047","1,756,722,442","1,595,022,291","2,013,191,557","1,927,812,146","1,849,755,623","2,026,239,142","1,859,220,796","2,266,792,856","2,453,884,590","3,489,510,788","2,987,744,299","3,911,435,668","4,462,626,856","5,171,304,254","5,416,563,567","5,331,948,896","5,136,259,225"
Afghanistan,"Mining, Manufacturing, Utilities (ISIC C-E)","380,487,611","398,376,414","347,123,422","377,109,248","468,965,014","514,857,174","556,044,703","642,513,347","717,742,954","805,022,956","791,976,885","756,029,303","750,661,311","737,023,953","728,822,567","734,699,999","705,200,006","626,900,008","455,599,996","520,199,986","745,700,006","677,199,986","420,600,000","278,599,999","173,400,001","175,800,000","213,644,777","259,636,466","315,528,867","371,007,367","606,430,036","713,594,740","733,618,264","779,939,548","936,309,069","1,060,539,991","1,178,079,324","1,781,193,074","1,888,312,985","1,668,912,072","2,067,834,468","2,741,801,159","2,780,167,081","2,547,568,959","2,540,442,814"
